File Path| Bundle Name| Line Number| Line Content| Selector Name| CSS Variable Name| Color| Color Count| Variable Name
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 6| background-color: white;| BODY | --fd-button-color,--fd-color-action-2 | white | 209| --fd-color-action-2
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 7| color: #636466;| BODY |  | #636466 | 5| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 32| color: black;| H1, H2, H3, H4, H5, H6, STRONG |  | black | 20| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 62| background-color: #f5efe3;| .cald_app_bkgd |  | #f5efe3 | 1| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 73| background-color: white !important;| .cald_header_bar | --fd-button-color,--fd-color-action-2 | white | 209| --fd-color-action-2
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 74| color: #636466;| .cald_header_bar |  | #636466 | 5| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 79| border-bottom: solid 5px #00A8E3 !important;| .cald_header_bar |  | #00a8e3 | 18| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 134| background-color: #bee0ee !important;| .cald_menuitem_selected, .cald_menuitem_selected > a:hover, .cald_menuitem_selected > a:active, .cald_menuitem_selected.active > a |  | #bee0ee | 3| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 135| color: #636466 !important;| .cald_menuitem_selected, .cald_menuitem_selected > a:hover, .cald_menuitem_selected > a:active, .cald_menuitem_selected.active > a |  | #636466 | 5| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 139| background-color: #bee0ee;| .cald_header_menubar |  | #bee0ee | 3| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 158| color: #636466;| .cald_header_menuitem |  | #636466 | 5| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 162| background-color: #72c9e9;| .cald_header_menuitem_selected |  | #72c9e9 | 2| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 170| color: white;| .cald_header_menuitem_selected | --fd-button-color,--fd-color-action-2 | white | 209| --fd-color-action-2
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 180| background-color: #bee0ee;| .cald_header_menubar .cald_app_menu |  | #bee0ee | 3| 
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 188| color: white !important;| .cald_header_menubar button.dropdown-toggle > .dropdown-toggle.btn-default:focus | --fd-button-color,--fd-color-action-2 | white | 209| --fd-color-action-2
c:\epam-work\litmos_core\litmosapp\static\cald\css\cald.css| cald| 203| background-color: white;| .cald_content | --fd-button-color,--fd-color-action-2 | white | 209| --fd-color-action-2
